"","x"
"127",-0.433905840737756
"128",-0.266452198779277
"129",0.151416069675096
"130",0.353901640029136
"131",0.80575320706424
"132",0.549172687516608
"133",0.636332968629903
"134",0.115101441209642
"135",-0.35077970006613
"136",-0.078239617498399
"137",0.284223370639798
"138",0.0465826755559847
"139",-0.559781840590818
"140",-0.638208478076951
"141",-0.794172656372879
"142",-1.3269944049323
"143",-1.34309403109285
"144",-1.02781266109609
"145",-0.922707842092396
"146",-0.587295854956047
"147",-0.601046377496985
"148",-0.835056973858842
"149",-0.500812650156473
"150",-1.09982500299933
"151",-1.06540692539529
"152",-0.87967036943606
"153",-1.39406071514633
"154",-1.22977446833094
"155",-1.09900125462507
"156",-1.21225182271449
"157",-1.10993250950891
"158",-0.662175250846248
"159",-0.770517465838902
"160",-0.25245579507466
"161",-0.444653201681699
"162",-0.159582910710238
"163",-0.475466034392795
"164",-0.424433214009054
"165",-0.70016346472025
"166",-0.635586645162627
"167",-0.585287515533073
"168",-1.06171090994945
"169",-0.865859654002844
"170",-0.503803436059612
"171",-0.0874327179939432
"172",0.00192430911223579
"173",-0.15841478906194
"174",-0.684720382519207
"175",-0.0622270731752608
"176",-0.875168675494876
"177",-1.16593466120971
"178",-0.813562567419735
"179",-0.324225890615884
"180",-0.312706035664597
"181",-0.453318961981506
"182",-0.803595788494202
"183",-0.730547931076244
"184",-0.990089519872628
"185",-0.572048473835717
"186",-0.238646150979574
"187",-0.517424798549375
"188",-0.639633711002734
"189",-0.47736492226466
"190",-0.284665827115793
"191",-0.208741261215149
"192",-0.57360934918045
"193",-0.377069949622209
"194",0.122871087880337
"195",-0.138336769703927
"196",-0.461295991161604
"197",-0.35145211103484
"198",-0.177136637810686
"199",-0.237029652633965
"200",-0.338864533550329
"201",-0.212164326906423
"202",-0.167633079240441
"203",-0.369885396189605
"204",-0.455123844814295
"205",-0.489544508663459
"206",-1.20742909914506
"207",-1.35207920365285
"208",-1.30145874642324
"209",-1.64495963935054
"210",-1.38998423090991
"211",-1.47673775973052
"212",-1.44672943485314
"213",-1.08067753413966
"214",-0.695469458053922
"215",-0.291137661801104
"216",-0.299823491493236
"217",-0.0692071439159022
"218",-0.206729498418616
"219",0.291962816022928
"220",0.501372286707377
"221",0.149440581514463
"222",-0.0474112873598782
"223",0.548527749930334
"224",0.37081905714163
"225",0.468810350081039
"226",0.547294830021626
"227",0.114769196514898
"228",0.114876665857768
"229",0.321540489331848
"230",-0.10663259930977
"231",0.375929780887683
"232",0.172820909321408
"233",-0.0610697424105876
"234",0.294579763627754
"235",0.151372618540736
"236",-0.15916688506968
"237",-0.0758029575079722
"238",-0.0379471228882807
"239",0.204730270929482
"240",-0.406195483298229
"241",0.00579411716041819
"242",0.0298851597883771
"243",0.102827864148919
"244",0.606567473676116
"245",0.582968175563416
"246",0.278684094808485
"247",0.693052652695279
"248",0.944948377396623
"249",0.950521083422721
"250",1.29032419687275
"251",0.700143369451757
"252",0.26499794355063
"253",-0.24446650333525
"254",-0.379036159150652
"255",0.27662733033423
"256",0.631656539298236
"257",1.23677685913354
"258",1.4325183564683
"259",1.6138472718946
"260",1.51252093181852
"261",0.736061119795338
"262",0.470760520022023
"263",0.240619587632686
"264",0.699779089477493
"265",0.217948598225924
"266",0.370535344579739
"267",1.11738183989576
"268",0.488411014172824
"269",0.717527503318696
"270",1.30408075086132
"271",1.25045637130224
"272",1.16127136175307
"273",1.00000636093896
"274",0.776119127547391
"275",0.473149310630011
"276",0.0524009848033649
"277",0.340839183082964
"278",0.324379868320693
"279",-0.170523941512527
"280",-0.490667691998338
"281",-0.559801435588435
"282",-0.616673955454142
"283",-1.1053429277784
"284",-1.01675199902302
"285",-0.80434362598097
"286",-1.35054073267839
"287",-1.47656001349997
"288",-1.33061399398429
"289",-1.22463758467122
"290",-0.575490405838143
"291",-1.19198385397387
"292",-1.4354890066209
"293",-1.1403295595256
"294",-0.453802342057373
"295",-0.817253819030556
"296",-0.463448217349208
"297",-0.438561374301597
"298",-0.277194930415816
"299",-0.278362815164911
"300",-0.37313172023436
"301",-0.801171819054261
"302",-0.661122601070063
"303",-1.01021532995908
"304",-0.982188638756442
"305",-0.752555957341934
"306",-0.423621096942788
"307",-0.337029896048562
"308",0.170294276212182
"309",0.276992996010405
"310",0.225920519368078
"311",-0.398071116096629
"312",0.0457534537513662
"313",0.564757961762892
"314",0.259116853103612
"315",0.47079338948864
"316",0.336961759457036
"317",0.50624624370245
"318",0.357927331532827
"319",0.130357332121127
"320",0.0876416638528596
"321",0.05735399566148
"322",-0.445903592058439
"323",-0.622801451393764
"324",-0.505647762966567
"325",0.54012192414462
"326",0.797532850534225
"327",1.17389581401936
"328",1.11460134106992
"329",1.46743154509537
"330",1.58851716232193
"331",1.18362663471787
"332",1.46403039497991
"333",1.43589299646414
"334",1.49983773723634
"335",1.16731788267426
"336",1.21861000263315
"337",1.43199467623056
"338",1.31564267582753
"339",1.53848378940085
"340",1.49831663482362
"341",1.39497081081878
"342",1.26080831855307
"343",1.19190588061306
"344",1.96313983014798
"345",1.4388730555764
"346",1.45751606305137
"347",1.51706368978262
"348",1.122310616195
"349",0.227650158882603
"350",-0.214703453904065
"351",-0.814754451905782
"352",-1.11282332747508
"353",-1.5717828298677
"354",-0.988904491643391
"355",-0.968707138168933
"356",-0.336015995770453
"357",-0.617200059031765
"358",-0.694829483223866
"359",-0.885156762796041
"360",-0.82792875596051
"361",-0.581049842863271
"362",-0.561927799271843
"363",-0.546878548701935
"364",-0.263605745161177
"365",-0.737808009736556
"366",-0.88793200807964
"367",-0.888672421033551
"368",-0.315185325279991
"369",-0.515331737067521
"370",-0.304557774821979
"371",-0.722807482631098
"372",-0.956242460543062
"373",-0.476432102640183
"374",0.0261279527233589
"375",0.0387041586443658
"376",0.0566600302898733
"377",0.123402626712719
"378",0.488673377228614
"379",0.737552688166626
"380",0.447494556524464
"381",0.531974458847685
"382",0.340445335602215
"383",0.597628827900912
"384",0.550635642230841
"385",0.232380663606503
"386",0.0141949171856731
"387",-0.326395044805943
"388",-0.153447821494601
"389",-0.00131799159180407
"390",-0.349622010988199
"391",-0.66413817946538
"392",-0.812070136609074
"393",-0.428127709065969
"394",-0.27913895068265
"395",-0.643266961798476
"396",-0.315500728746777
"397",-0.258208133610964
"398",0.0414330332582049
"399",-0.417424414004025
"400",-0.0826963326908601
"401",-0.00606154182104804
"402",-0.25770434842125
"403",-0.477730665404622
"404",-0.545215396004449
"405",-0.916993498006945
"406",-1.28152447442327
"407",-1.09546515622057
"408",-1.02034683836377
"409",-0.801560162141353
"410",-1.05277288566171
"411",-1.12155739861471
"412",-1.18847433291818
"413",-1.56836252776236
"414",-1.43602936598852
"415",-0.773860639074689
"416",-0.283899087291957
"417",-0.401341384800759
"418",-0.587354402282594
"419",-0.34678680974871
"420",0.241996236773591
"421",-0.0592290521250777
"422",0.322045301413267
"423",0.569051665129172
"424",0.508871512994259
"425",0.769704302806554
"426",0.597024101812324
"427",0.364155724418633
"428",0.354155635080546
"429",0.458723395970714
"430",0.740154503445817
"431",0.63185343751281
"432",0.294300923343197
"433",0.627592741105472
"434",0.618843548933651
"435",0.336512877176385
